Artist Name,Year,Movie,Critic Score,Audience Score,Box Office Score,Updated By
Dhanush,2010,Uthama puthiran,5,7,5,
Dhanush,2011,Venghai,4,5,4,
Dhanush,2012,3,7,8,8,
Dhanush,2013,Maryan,8,7,7,
Dhanush,2014,VIP,8,9,8,
Dhanush,2015,Anegan,5,5,4,
Dhanush,2016,Kodi,6,7,7,
Dhanush,2017,VIP 2,3,4,3,
Dhanush,2018,Vada chennai,9,9,9,
Dhanush,2019,Asuran,8,9,9,
Dhanush,2020,Pattas,6,8,7,
Simbu,2010,VTV,8,9,8,
Simbu,2011,Osthi,4,6,5,
Simbu,2012,Podaa podi,5,5,3,
Simbu,2013,Kanna laddu thinna aasaiya,4,4,3,
Simbu,2014,Inga enna solluthu,5,6,5,
Simbu,2015,Vaalu,4,5,5,
Simbu,2016,Achcham enbathu madamaiyada,4,4,3,
Simbu,2017,Anbanavan adangathavan asarathavan,3,4,2,
Simbu,2018,Chekka chivantha vaanam,8,9,8,
Simbu,2019,Vantha Rajavathan varuven,5,7,6,
Simbu,2019,Kaatrin mozhi,7,7,5,
Vijay,2010,Sura,5,7,5,
Vijay,2011,Velayudham,5,5,4,
Vijay,2012,Thuppaki,8,9,9,
Vijay,2013,Thalaivaa,5,7,6,
Vijay,2014,Kaththi,7,9,9,
Vijay,2015,Puli,5,6,5,
Vijay,2016,Theri,7,9,9,
Vijay,2017,Mersal,8,8,9,
Vijay,2018,Sarkar,8,9,9,
Vijay,2019,Bigil,7,8,9,
Anirudh Ravichandran,2012,3,7,8,9,
Anirudh Ravichandran,2013,David,7,8,7,
Anirudh Ravichandran,2013,Ethir neechal,8,8,8,
Anirudh Ravichandran,2013,Vanakkam chennai,8,9,8,
Anirudh Ravichandran,2014,Vellailla pattadhaari,9,8,9,
Anirudh Ravichandran,2015,Vedhalam,7,8,8,
Anirudh Ravichandran,2016,Remo,8,8,7,
Anirudh Ravichandran,2017,Vivegam,7,8,8,
Anirudh Ravichandran,2018,Kolamavu kokila,6,7,8,
Anirudh Ravichandran,2019,Petta,8,9,9,
Anirudh Ravichandran,2020,Darbar,8,8,8,
Siva Karthikeyan,2012,3,7,7,8,
Siva Karthikeyan,2012,Manam kothi paravai,6,5,5,
Siva Karthikeyan,2013,Kedi Billa killadi Ranga,7,7,8,
Siva Karthikeyan,2013,Varuthapadatha valibar sangam,7,8,8,
